Timestamp(LST),WS(m/s),WD(deg),Ta(C),RH(%),SLP(hPa),Rsw(W/m2)
2022-01-01 01:00:00,9.0,138.5,0.4,86.5,982.8,0.0
2022-01-01 02:00:00,9.4,113.8,0.5,85.7,982.4,0.0
2022-01-01 03:00:00,10.6,97.3,0.4,88.1,981.9,4.8
2022-01-01 04:00:00,11.7,95.8,0.3,88.5,981.6,14.8
2022-01-01 05:00:00,13.6,84.5,0.4,85.9,980.9,41.4
2022-01-01 06:00:00,13.2,89.3,0.3,87.5,981.0,48.5
2022-01-01 07:00:00,12.1,91.4,0.3,88.3,981.3,48.2
2022-01-01 08:00:00,11.3,99.2,0.2,89.2,981.3,128.2
2022-01-01 09:00:00,8.9,97.2,0.2,90.3,981.8,132.1
2022-01-01 10:00:00,8.5,98.9,-0.1,93.4,981.7,132.7
2022-01-01 11:00:00,9.8,95.3,0.0,93.8,981.5,174.8
2022-01-01 12:00:00,11.1,90.7,0.2,93.3,981.2,208.8
2022-01-01 13:00:00,11.6,96.0,0.2,93.3,981.0,174.8
2022-01-01 14:00:00,9.9,94.6,0.1,94.2,981.6,134.6
2022-01-01 15:00:00,8.8,94.0,0.0,95.6,981.6,145.4
2022-01-01 16:00:00,8.9,99.1,0.2,95.5,981.9,218.8
2022-01-01 17:00:00,9.5,97.2,0.3,95.4,982.0,231.7
2022-01-01 18:00:00,8.9,99.8,0.6,94.5,982.0,222.5
2022-01-01 19:00:00,9.1,98.7,0.5,93.9,982.4,135.5
2022-01-01 20:00:00,8.3,100.4,0.5,94.2,982.5,57.9
2022-01-01 21:00:00,8.2,101.2,0.6,94.2,982.5,35.6
2022-01-01 22:00:00,6.8,101.9,0.6,95.3,982.7,6.0
2022-01-01 23:00:00,4.9,93.7,0.8,94.5,982.9,0.4
2022-01-02 00:00:00,3.1,76.8,0.9,91.9,982.7,0.0
2022-01-02 01:00:00,2.1,20.4,0.7,91.9,983.1,0.0
2022-01-02 02:00:00,1.5,129.7,-0.1,92.9,983.0,0.3
2022-01-02 03:00:00,4.4,97.2,0.4,88.4,982.6,15.5
2022-01-02 04:00:00,1.4,335.7,0.5,90.0,983.1,60.6
2022-01-02 05:00:00,2.2,85.3,0.9,87.4,982.6,157.1
2022-01-02 06:00:00,7.2,90.3,2.0,80.4,981.8,211.0
2022-01-02 07:00:00,9.6,96.0,1.1,88.1,981.3,303.1
2022-01-02 08:00:00,6.8,76.3,2.9,78.8,980.8,435.8
2022-01-02 09:00:00,6.1,96.9,3.3,77.2,980.1,430.5
2022-01-02 10:00:00,11.4,93.4,4.5,74.8,979.2,482.4
2022-01-02 11:00:00,12.8,92.7,2.2,83.4,979.3,412.5
2022-01-02 12:00:00,12.5,103.0,1.9,83.5,979.0,379.1
2022-01-02 13:00:00,10.7,102.7,1.1,91.8,978.7,174.9
2022-01-02 14:00:00,7.3,98.9,1.0,94.2,978.0,118.1
2022-01-02 15:00:00,11.8,98.1,1.1,93.4,976.1,131.4
2022-01-02 16:00:00,12.3,103.2,1.2,90.9,975.6,83.4
2022-01-02 17:00:00,10.3,121.8,0.9,92.8,975.1,36.7
2022-01-02 18:00:00,12.1,118.7,0.6,94.6,974.0,29.3
2022-01-02 19:00:00,10.1,122.5,0.7,95.5,973.8,19.4
2022-01-02 20:00:00,11.8,111.7,0.8,94.4,973.3,19.5
2022-01-02 21:00:00,13.7,105.5,0.9,94.1,972.5,15.0
2022-01-02 22:00:00,16.5,95.7,1.0,94.2,971.5,2.6
2022-01-02 23:00:00,16.5,96.5,0.9,94.3,970.8,0.0
2022-01-03 00:00:00,14.3,97.4,0.9,94.4,970.7,0.0
2022-01-03 01:00:00,12.3,98.8,0.9,95.0,970.7,0.0
2022-01-03 02:00:00,11.1,106.9,0.8,96.5,970.7,0.0
2022-01-03 03:00:00,8.0,107.8,0.8,96.9,970.4,0.0
2022-01-03 04:00:00,9.0,112.2,0.6,97.0,970.0,3.1
2022-01-03 05:00:00,10.0,117.4,0.5,96.8,969.8,8.1
2022-01-03 06:00:00,10.4,118.9,0.3,96.6,969.2,25.2
2022-01-03 07:00:00,11.0,113.7,0.3,97.0,969.1,37.7
2022-01-03 08:00:00,11.5,115.1,0.5,96.8,968.9,108.0
2022-01-03 09:00:00,11.2,119.3,0.6,96.3,968.6,127.3
2022-01-03 10:00:00,11.4,123.6,0.5,95.9,968.9,144.2
2022-01-03 11:00:00,11.0,128.0,0.6,96.0,969.1,143.6
2022-01-03 12:00:00,11.8,126.4,0.6,95.9,969.3,165.7
2022-01-03 13:00:00,12.1,128.3,0.7,95.1,969.3,158.2
2022-01-03 14:00:00,13.3,128.5,0.5,96.1,969.6,104.0
2022-01-03 15:00:00,13.1,125.5,0.5,96.5,970.3,45.6
2022-01-03 16:00:00,12.5,126.1,0.4,96.2,971.0,34.4
2022-01-03 17:00:00,12.6,126.2,0.5,95.2,971.6,47.1
2022-01-03 18:00:00,11.0,131.5,0.6,92.7,972.0,41.4
2022-01-03 19:00:00,11.4,133.0,0.6,89.3,972.5,50.2
2022-01-03 20:00:00,12.4,128.5,0.9,83.8,973.1,33.6
2022-01-03 21:00:00,10.7,129.8,1.1,81.0,973.9,15.8
2022-01-03 22:00:00,9.7,123.0,1.1,81.5,974.8,1.7
2022-01-03 23:00:00,8.0,116.8,1.2,81.0,975.4,0.0
2022-01-04 00:00:00,6.7,108.0,1.2,81.8,976.1,0.0
2022-01-04 01:00:00,7.0,96.3,1.2,81.3,976.4,0.0
2022-01-04 02:00:00,5.2,108.0,1.2,80.4,976.9,0.0
2022-01-04 03:00:00,4.1,108.2,1.1,81.3,977.7,1.8
2022-01-04 04:00:00,3.7,119.3,1.0,83.7,978.4,31.2
2022-01-04 05:00:00,2.3,128.9,1.1,82.2,979.1,49.8
2022-01-04 06:00:00,1.6,116.6,1.2,81.3,979.7,110.7
2022-01-04 07:00:00,3.2,130.5,1.7,76.1,980.3,195.1
2022-01-04 08:00:00,4.9,117.7,2.1,71.0,980.6,256.8
2022-01-04 09:00:00,3.5,122.7,2.3,70.3,981.0,378.9
2022-01-04 10:00:00,2.7,103.4,3.1,66.8,981.3,498.2
2022-01-04 11:00:00,0.0,99.6,4.3,61.4,981.8,646.1
2022-01-04 12:00:00,0.3,13.7,4.8,60.3,982.1,745.0
2022-01-04 13:00:00,0.6,342.0,4.8,60.3,982.3,632.3
2022-01-04 14:00:00,1.8,253.3,3.7,69.4,982.7,581.2
2022-01-04 15:00:00,1.8,236.3,2.7,81.8,983.0,482.6
2022-01-04 16:00:00,1.4,244.6,2.3,84.1,983.4,298.2
2022-01-04 17:00:00,1.0,237.4,2.4,82.6,983.6,292.0
2022-01-04 18:00:00,1.6,164.8,2.6,82.8,984.1,196.0
2022-01-04 19:00:00,2.2,148.3,2.1,84.9,984.4,125.7
2022-01-04 20:00:00,0.8,108.8,1.9,86.5,984.8,68.0
2022-01-04 21:00:00,0.6,147.2,1.7,86.9,985.0,26.8
2022-01-04 22:00:00,1.0,33.9,1.5,88.2,985.3,3.3
2022-01-04 23:00:00,2.0,316.2,1.4,90.0,985.5,0.0
2022-01-05 00:00:00,2.8,316.2,1.3,90.7,985.7,0.0
2022-01-05 01:00:00,2.5,328.7,1.2,89.9,986.0,0.0
2022-01-05 02:00:00,2.7,331.3,1.1,89.7,986.1,0.1
2022-01-05 03:00:00,2.3,338.5,0.9,90.7,986.5,4.9
2022-01-05 04:00:00,1.2,337.3,1.0,89.4,986.8,20.3
2022-01-05 05:00:00,1.2,29.4,1.2,86.3,987.1,42.7
2022-01-05 06:00:00,1.0,291.3,1.3,85.8,987.6,91.9
